Quarter,Year,Go Up,Stay the Same,Go Down,DK; NA,Relative,
1,2012,35,55,8,2,73,
2,2012,38,53,7,2,69,
3,2012,35,53,10,2,75,
4,2012,36,53,8,3,72,
1,2013,44,46,8,2,64,
2,2013,46,45,7,2,61,
3,2013,64,29,6,1,42,
4,2013,59,34,5,2,46,
1,2014,60,34,5,1,45,
2,2014,59,35,5,1,46,
3,2014,57,36,6,1,49,
4,2014,52,40,7,1,55,
1,2015,55,37,7,1,52,
2,2015,61,33,5,1,44,
3,2015,61,32,6,1,45,
4,2015,63,31,5,1,42,
1,2016,62,30,7,1,45,
2,2016,59,34,6,1,47,
3,2016,55,37,7,1,52,
4,2016,63,29,6,2,43,
1,2017,73,20,6,1,33,
2,2017,75,18,6,1,31,
3,2017,70,24,5,1,35,
4,2017,69,24,6,1,37,
1,2018,76,18,5,1,29,
2,2018,75,19,5,1,30,
3,2018,76,19,4,1,28,
4,2018,76,18,4,2,28,
1,2019,66,27,6,1,40,
2,2019,53,37,9,1,56,
3,2019,39,38,22,1,83,
4,2019,38,42,18,2,80,
1,2020,38,42,19,1,81,
2,2020,31,38,30,1,99,
3,2020,32,46,20,2,88,
4,2020,37,47,13,3,76,
1,2021,49,39,10,2,61,
2,2021,67,26,6,1,39,
3,2021,67,25,7,1,40,
4,2021,71,22,6,1,35,
1,2022,82,13,4,1,22,
2,2022,87,9,4,0,17,
3,2022,82,11,5,2,23,
4,2022,78,12,9,1,31,
1,2023,69,18,11,2,42,
2,2023,66,21,11,2,45,
3,2023,62,24,13,1,51,
4,2023,54,28,17,1,63,
1,2024,34,28,36,2,102,
